"Iso Number","Size","Quantity","Length","Long Description"
"FL4-R-10","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-11","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-12","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-13","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"","2""x1-1/2""x3/4""","6","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"","2""x3/4""","63","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-06","2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-07","2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-09","2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-10","2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-11","2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-12","2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL4-R-01","2-1/2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-02","2-1/2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-03","2-1/2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-04","2-1/2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-08","2-1/2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"","2-1/2""x3/4""","19","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-01","2-1/2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-02","2-1/2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-03","2-1/2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-04","2-1/2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-08","2-1/2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL4-S-01","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-02","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-03","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-04","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-05","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-06","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-07","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-08","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-09","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-10","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-11","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-12","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-13","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-5.1-1","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-S-8.1-1","3/4""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"","1""","7","","API LINE PIPE COUPLING, THRD"
"FL5-S-05","1""","1","","API LINE PIPE COUPLING, THRD"
"FL5-S-13","1""","1","","API LINE PIPE COUPLING, THRD"
"FL6-S-05","1""","1","","API LINE PIPE COUPLING, THRD"
"FL6-S-13","1""","1","","API LINE PIPE COUPLING, THRD"
"FL4-S-05","1""x3/4""","1","","REDUCER, CONC 150LB MALLEABLE IRON, GRINNELL"
"FL4-S-13","1""x3/4""","1","","REDUCER, CONC 150LB MALLEABLE IRON, GRINNELL"
"","1-1/2""","6","","API LINE PIPE COUPLING, THRD"
"","1-1/4""","10","","API LINE PIPE COUPLING, THRD"
"","2""","10","","API LINE PIPE COUPLING, THRD"
"FL5-R-05","2""","1","","API LINE PIPE COUPLING, THRD"
"FL5-R-13","2""","1","","API LINE PIPE COUPLING, THRD"
"","2-1/2""","6","","API LINE PIPE COUPLING, THRD"
"","2-1/2""x2""","4","","REDUCER, CONC 150LB MALLEABLE IRON, GRINNELL"
